cpf,nome,telefone,codigo,descricao,voltagem,tipo,dataretirada,horaretirada,dataentrega,horaentrega
22222222222,Ze Do P,55555555555,106,asdfsdf,111,asdfsd,12,13,12,13
55555555555,Rafa,4444444443,104,gagaga,321,asdfasd,41,21,42,13
55555555555,Rafa,4444444443,106,asdfsdf,111,asdfsd,11/11/1111,11:11:11,22/22/2222,11:11:11
22222222222,Ze Do P,55555555555,106,asdfsdf,111,asdfsd,25/11/2022,14:00:00,30/11/2022,14:00:00
88888888877,rafa,6666666666,107,rafinhaaa,111,asdfasd,5/9/2022,11:0:0,6/9/2022,11:0:0
22222222222,Ze Do P,55555555555,107,rafinhaaa,111,asdfasd,05/09/2022,11:00:00,6/9/2022,11:00:00
22222222222,Ze Do P,55555555555,107,rafinhaaa,111,asdfasd,05/09/2022,14:00:00,05/09/2022,12:00:00
22222222222,Ze Do P,55555555555,106,asdfsdf,111,asdfsd,05/09/2022,14:00:00,05/09/2022,16:00:00
,,,,,,,5/9/2022,14:00:00,5/9/2022,16:00:00
88888888877,rafa,6666666666,107,rafinhaaa,111,asdfasd,5/9/2022,14:00:00,5/9/2022,16:00:00
22222222222,Ze Do P,55555555555,107,rafinhaaa,111,asdfasd,8/9/2022,14:00:00,8/9/2022,16:00:00
88888888877,rafa,6666666666,107,rafinhaaa,111,asdfasd,6/9/2022,16:00:00,30/9/2022,16:00:00
55555555555,Rafa,4444444443,109,adfasdfasdfas,111,asdfasd,7/9/2022,16:00:00,28/9/2022,16:00:00
22222222222,Ze Do P,55555555555,107,rafinhaaa,111,asdfasd,7/9/2022,16:00:00,14/9/2022,16:00:00
22222222222,Ze Do P,55555555555,106,asdfsdf,111,asdfsd,8/9/2022,14:00:00,20/9/2022,14:00:00
