cpf,nome,telefone,turno,equipe
55555555555,Carro Veio,44444444444,N,4
77777777777,Casa Velha,55555555555,T,5
33333333333,ppp,99999999999,N,5
0,Peixe Gato,33333333333,T,3
22222222222,Ze Do P,55555555555,T,6
88888888877,Gamb Fedorento,6666666666,N,2
88888888877,Gamb Fedorento,6666666666,N,2
55555555555,Carro Veio,44444444444,N,4
77777777777,Casa Velha,55555555555,T,5
22222222222,Ze Do P,55555555555,T,6
77777777777,Casa Velha,55555555555,T,5
33333333333,ppp,99999999999,N,5
55555555555,Carro Veio,44444444444,N,4
37925319844,tete,33333333332,T,3
