cpf,nome,telefone,turno,equipe
12345678978,Gato Maluco,2222222222,M,1
78945612312,Cachorro Doido,5555555555,T,1
45645645645,Rato Pirado,8888888888,M,1
98798798787,Barata Tonta,7777777777,N,2
88888888877,Gambá Fedorento,6666666666,N,2
11111111111,Planta Molhada,11111111111,M,3
88888888888,Pneu Furado,33333333333,M,3
22222222222,Tatu Bola,66666666666,T,4
55555555555,Carro Veio,44444444444,N,4
77777777777,Casa Velha,55555555555,N,5
33333333333,Peixe Boi,99999999999,N,5
0,Peixe Gato,33333333333,T,3
22222222222,Zé Do Pé,55555555555,T,6
